,Team,Rank,S Tier
250,Team Falcons,251,0
251,Rix.GG Thunder,252,0
252,FABRIKEN,253,0
253,KONE,254,0
254,XPLDZ,255,0
255,PACT,256,0
256,Anorthosis Famagusta Esports,257,0
257,Last Round Save,258,0
258,Skull Cracker Fem,259,0
259,PROPARTY,260,0
260,NOTHING2LOSE,261,0
261,Team Queso,262,0
262,smoke,263,0
263,DKS Esports,264,0
264,Ferrari Peek,265,0
265,Man I Love Fwogs,266,0
266,Angry Titans,267,0
267,Squad5,268,0
268,Project X,269,0
269,BearClaw Gaming,270,0
270,Mod-Z Esports,271,0
271,Entropiq,272,0
272,PEACE,273,0
273,ArkAngel,274,0
274,ZFGaming,275,0
275,Axsor,276,0
276,Cairo City G'zzz,277,0
277,Team oNe,278,0
278,Aricat Esport,279,0
279,Team Serenity,280,0
280,Gen.G Black,281,0
281,SuperMassive Blaze Female,282,0
282,GiefKalash,283,0
283,Rebirth Esports,284,0
284,SV Empire,285,0
285,SAW,285,0
286,YFP Gaming,287,0
287,Rio Company,288,0
288,TUBEPLE Gaming,289,0
289,Warriors,290,0
290,MOUZ,291,0
291,Beşiktaş Esports,292,0
292,Team Weibo,293,0
293,Zeal Esports,294,0
294,ehehxd,295,0
295,INTZ Angels,296,0
296,No Mercy,297,0
297,Morning Light,298,0
298,KRÜ Fem,298,0
299,Exceeli Esports,300,0
300,Wichita Wolves,301,0
301,Kaos Latin Gamers,302,0
302,Thailand Attitude,303,0
303,BLUE BEES,304,0
304,Illuminar Gaming,305,0
305,Mystify,306,0
306,Team Lixa,307,0
307,Wygers,308,0
308,Highground,309,0
309,Worst Players,310,0
310,Suning,311,0
311,Chakalaka,312,0
312,LOL-,313,0
313,Surreal Esports,314,0
314,Oxygen Supremacy,315,0
315,Elevate,316,0
316,Legacy Esports,317,0
317,Team Liquid Brazil,318,0
318,ROYALS,319,0
319,FW ESPORTS,320,0
320,Reality Rift,321,0
321,Real Betis,322,0
322,Meta Gaming,323,0
323,Code7,323,0
324,Akave Esports,323,0
325,looking4org,326,0
326,VIMDOLOL,327,0
327,Mixup,328,0
328,OG,329,0
329,Rebels Gaming,330,0
330,PDHM Gaming,331,0
331,flow state,332,0
332,SUPRMODE,333,0
333,Northeption,334,0
334,eXiLe eSports,335,0
335,Revolution,336,0
336,EveryBodyDance,337,0
337,Tek Gaming,338,0
338,Los Grandes,339,0
339,Sangal Esports,340,0
340,Arctic,341,0
341,Celeste Esports,342,0
342,Skull Cracker,343,0
343,FENNEL,344,0
344,2G4L,345,0
345,DarkZero Esports,346,0
346,Futbolist Female,347,0
347,Quantum Strikers,348,0
348,AoeXe,349,0
349,LIZHI,350,0
350,Optix,351,0
351,ascend,351,0
352,Penguin Sledding,353,0
353,WATAHA,354,0
354,Avenue Esports,354,0
355,BBL Queens,356,0
356,The Ultimates,357,0
357,Crypto Esports,358,0
358,Dire Wolves,359,0
359,Ryze Gaming,360,0
360,Team FANGS,361,0
361,Kanga Esports,362,0
362,Vengeance,363,0
363,Aim.Attack,364,0
364,FRENCH CANADIANS,365,0
365,19esports,366,0
366,eSuba,367,0
367,Spacestation Gaming,368,0
368,Diamant Esports,369,0
369,Funkboings,370,0
370,Fadee Gaming,371,0
371,Enterprise Esports,372,0
372,Entropiq Bravo,373,0
373,big pizza,374,0
374,Ground Zero Gaming,375,0
375,Rex Regum Qeon,376,0
376,QLASH Egypt,377,0
377,beastcoast,378,0
378,Complexity GX3,379,0
379,HaZe Clan,380,0
380,S2V Esports,381,0
381,Avant Gaming,382,0
382,VersionX,383,0
383,DeToNator,384,0
384,CYCLOPS athlete gaming,385,0
385,Chiefs Esports Club,386,0
386,Falkol eSports,387,0
387,Fenerbahçe Esports,388,0
388,TERROR.NET,389,0
389,Dark Passage,390,0
390,Case Esports,391,0
391,Team Empire,392,0
392,T1 Academy,392,0
393,FURY,394,0
394,eRa Eternity,395,0
395,SKADE,396,0
396,Black Dragons,397,0
397,Unicorns of Love,398,0
398,Nora-Rengo,399,0
399,Lunatic-hai,400,0
400,DETONA Gaming,401,0
401,Lunatic-hai FLUX,402,0
